Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","AFG","Afghanistan","5110","Area","6610","Agricultural land","2020","2020","1000 ha","38313","I","Imputed value"
"RL","Land Use","AFG","Afghanistan","5110","Area","6621","Arable land","2020","2020","1000 ha","7829","I","Imputed value"
"RL","Land Use","AFG","Afghanistan","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","30262","A","Official figure"
"RL","Land Use","ALB","Albania","5110","Area","6610","Agricultural land","2020","2020","1000 ha","1165.555","A","Official figure"
"RL","Land Use","ALB","Albania","5110","Area","6621","Arable land","2020","2020","1000 ha","599.6","A","Official figure"
"RL","Land Use","ALB","Albania","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","478","A","Official figure"
"RL","Land Use","DZA","Algeria","5110","Area","6610","Agricultural land","2020","2020","1000 ha","41316.071","I","Imputed value"
"RL","Land Use","DZA","Algeria","5110","Area","6621","Arable land","2020","2020","1000 ha","7530.6","I","Imputed value"
"RL","Land Use","DZA","Algeria","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","32806.5","I","Imputed value"
"RL","Land Use","ASM","American Samoa","5110","Area","6610","Agricultural land","2020","2020","1000 ha","2.87","I","Imputed value"
"RL","Land Use","ASM","American Samoa","5110","Area","6621","Arable land","2020","2020","1000 ha","0.96","I","Imputed value"
"RL","Land Use","ASM","American Samoa","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","0","I","Imputed value"
"RL","Land Use","AND","Andorra","5110","Area","6610","Agricultural land","2020","2020","1000 ha","18.7773","I","Imputed value"
"RL","Land Use","AND","Andorra","5110","Area","6621","Arable land","2020","2020","1000 ha","0.7689","A","Official figure"
"RL","Land Use","AND","Andorra","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","18","I","Imputed value"
"RL","Land Use","AGO","Angola","5110","Area","6610","Agricultural land","2020","2020","1000 ha","45892","I","Imputed value"
"RL","Land Use","AGO","Angola","5110","Area","6621","Arable land","2020","2020","1000 ha","5368","I","Imputed value"
"RL","Land Use","AGO","Angola","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","40207","I","Imputed value"
"RL","Land Use","ATG","Antigua and Barbuda","5110","Area","6610","Agricultural land","2020","2020","1000 ha","9","I","Imputed value"
"RL","Land Use","ATG","Antigua and Barbuda","5110","Area","6621","Arable land","2020","2020","1000 ha","4","I","Imputed value"
"RL","Land Use","ATG","Antigua and Barbuda","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","4","I","Imputed value"
"RL","Land Use","ARG","Argentina","5110","Area","6610","Agricultural land","2020","2020","1000 ha","117757.7597","I","Imputed value"
"RL","Land Use","ARG","Argentina","5110","Area","6621","Arable land","2020","2020","1000 ha","42008.7597","I","Imputed value"
"RL","Land Use","ARG","Argentina","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","74681","I","Imputed value"
"RL","Land Use","ARM","Armenia","5110","Area","6610","Agricultural land","2020","2020","1000 ha","1676","A","Official figure"
"RL","Land Use","ARM","Armenia","5110","Area","6621","Arable land","2020","2020","1000 ha","444","A","Official figure"
"RL","Land Use","ARM","Armenia","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","1172","A","Official figure"
"RL","Land Use","ABW","Aruba","5110","Area","6610","Agricultural land","2020","2020","1000 ha","2","I","Imputed value"
"RL","Land Use","ABW","Aruba","5110","Area","6621","Arable land","2020","2020","1000 ha","2","I","Imputed value"
"RL","Land Use","AUS","Australia","5110","Area","6610","Agricultural land","2020","2020","1000 ha","355775","I","Imputed value"
"RL","Land Use","AUS","Australia","5110","Area","6621","Arable land","2020","2020","1000 ha","30644","I","Imputed value"
"RL","Land Use","AUS","Australia","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","324779","A","Official figure"
"RL","Land Use","AUT","Austria","5110","Area","6610","Agricultural land","2020","2020","1000 ha","2602.6654","A","Official figure"
"RL","Land Use","AUT","Austria","5110","Area","6621","Arable land","2020","2020","1000 ha","1324.9714","A","Official figure"
"RL","Land Use","AUT","Austria","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","1209.98","A","Official figure"
"RL","Land Use","AZE","Azerbaijan","5110","Area","6610","Agricultural land","2020","2020","1000 ha","4780.1","A","Official figure"
"RL","Land Use","AZE","Azerbaijan","5110","Area","6621","Arable land","2020","2020","1000 ha","2084.3","A","Official figure"
"RL","Land Use","AZE","Azerbaijan","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","2423","A","Official figure"
"RL","Land Use","BHS","Bahamas","5110","Area","6610","Agricultural land","2020","2020","1000 ha","13","I","Imputed value"
"RL","Land Use","BHS","Bahamas","5110","Area","6621","Arable land","2020","2020","1000 ha","8","I","Imputed value"
"RL","Land Use","BHS","Bahamas","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","2","I","Imputed value"
"RL","Land Use","BHR","Bahrain","5110","Area","6610","Agricultural land","2020","2020","1000 ha","8.1","I","Imputed value"
"RL","Land Use","BHR","Bahrain","5110","Area","6621","Arable land","2020","2020","1000 ha","2.1","A","Official figure"
"RL","Land Use","BHR","Bahrain","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","4","I","Imputed value"
"RL","Land Use","BGD","Bangladesh","5110","Area","6610","Agricultural land","2020","2020","1000 ha","9928","I","Imputed value"
"RL","Land Use","BGD","Bangladesh","5110","Area","6621","Arable land","2020","2020","1000 ha","8000","I","Imputed value"
"RL","Land Use","BGD","Bangladesh","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","600","I","Imputed value"
"RL","Land Use","BRB","Barbados","5110","Area","6610","Agricultural land","2020","2020","1000 ha","10","I","Imputed value"
"RL","Land Use","BRB","Barbados","5110","Area","6621","Arable land","2020","2020","1000 ha","7","I","Imputed value"
"RL","Land Use","BRB","Barbados","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","2","I","Imputed value"
"RL","Land Use","BLR","Belarus","5110","Area","6610","Agricultural land","2020","2020","1000 ha","8281","A","Official figure"
"RL","Land Use","BLR","Belarus","5110","Area","6621","Arable land","2020","2020","1000 ha","5660","A","Official figure"
"RL","Land Use","BLR","Belarus","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","2521","A","Official figure"
"RL","Land Use","BEL","Belgium","5110","Area","6610","Agricultural land","2020","2020","1000 ha","1364.6093","A","Official figure"
"RL","Land Use","BEL","Belgium","5110","Area","6621","Arable land","2020","2020","1000 ha","864.8766","A","Official figure"
"RL","Land Use","BEL","Belgium","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","476.1192","A","Official figure"
"RL","Land Use","BLZ","Belize","5110","Area","6610","Agricultural land","2020","2020","1000 ha","180","I","Imputed value"
"RL","Land Use","BLZ","Belize","5110","Area","6621","Arable land","2020","2020","1000 ha","98","I","Imputed value"
"RL","Land Use","BLZ","Belize","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","50","I","Imputed value"
"RL","Land Use","BEN","Benin","5110","Area","6610","Agricultural land","2020","2020","1000 ha","3950","I","Imputed value"
"RL","Land Use","BEN","Benin","5110","Area","6621","Arable land","2020","2020","1000 ha","2800","I","Imputed value"
"RL","Land Use","BEN","Benin","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","550","I","Imputed value"
"RL","Land Use","BMU","Bermuda","5110","Area","6610","Agricultural land","2020","2020","1000 ha","0.3","I","Imputed value"
"RL","Land Use","BMU","Bermuda","5110","Area","6621","Arable land","2020","2020","1000 ha","0.3","I","Imputed value"
"RL","Land Use","BTN","Bhutan","5110","Area","6610","Agricultural land","2020","2020","1000 ha","513","I","Imputed value"
"RL","Land Use","BTN","Bhutan","5110","Area","6621","Arable land","2020","2020","1000 ha","94","I","Imputed value"
